"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"s1","Movie","Dick Johnson Is Dead","Kirsten Johnson","","United States","""September 25",,"2020","PG-13","90 min","Documentaries"
"s2","TV Show","Blood & Water","","""Ama Qamata"," Khosi Ngema"," Gail Mabalane",," Dillon Windvogel"," Natasha Thahane"," Arno Greeff"," Xolile Tshabalala"
"s3","TV Show","Ganglands","Julien Leclercq","""Sami Bouajila"," Tracy Gotoas"," Samuel Jouy",," Sofia Lesaffre"," Salim Kechiouche"," Noureddine Farihi"," Geert Van Rampelberg"
"s4","TV Show","Jailbirds New Orleans","","","","""September 24",,"2021","TV-MA","1 Season","""Docuseries"
"s5","TV Show","Kota Factory","","""Mayur More"," Jitendra Kumar"," Ranjan Raj",," Ahsaas Channa"," Revathi Pillai"," Urvi Singh"," Arun Kumar"""
"s6","TV Show","Midnight Mass","Mike Flanagan","""Kate Siegel"," Zach Gilford"," Hamish Linklater",," Kristin Lehman"," Samantha Sloyan"," Igby Rigney"," Rahul Kohli"
"s7","Movie","My Little Pony: A New Generation","""Robert Cullen"," José Luis Ucha""","""Vanessa Hudgens"," Kimiko Glenn",," Sofia Carson"," Liza Koshy"," Ken Jeong"," Elizabeth Perkins"
"s8","Movie","Sankofa","Haile Gerima","""Kofi Ghanaba"," Oyafunmike Ogunlano"," Alexandra Duah",," Mutabaruka"," Afemo Omilami"," Reggie Carter"," Mzuri"""
"s9","TV Show","The Great British Baking Show","Andy Devonshire","""Mel Giedroyc"," Sue Perkins"," Mary Berry",,"United Kingdom","""September 24"," 2021""","2021"
"s10","Movie","The Starling","Theodore Melfi","""Melissa McCarthy"," Chris O'Dowd"," Kevin Kline",," Daveed Diggs"," Skyler Gisondo"," Laura Harrier"," Rosalind Chao"
"s11","TV Show","""Vendetta: Truth"," Lies and The Mafia""","","","",," 2021""","2021","TV-MA","1 Season"
"s12","TV Show","Bangkok Breaking","Kongkiat Komesiri","""Sukollawat Kanarot"," Sushar Manaying"," Pavarit Mongkolpisit",," Suthipongse Thatphithakkul"," Bhasaworn Bawronkirati"," Daweerit Chullasapya"," Waratthaya Wongchayaporn"
"s13","Movie","Je Suis Karl","Christian Schwochow","""Luna Wedler"," Jannis Niewöhner"," Milan Peschel",," Anna Fialová"," Marlon Boess"," Victor Boccard"," Fleur Geffrier"
"s14","Movie","Confessions of an Invisible Girl","Bruno Garotti","""Klara Castanho"," Lucca Picon"," Júlia Gomes",," Kiria Malheiros"," Fernanda Concon"," Gabriel Lima"," Caio Cabral"
"s15","TV Show","Crime Stories: India Detectives","","","","""September 22",,"2021","TV-MA","1 Season","""British TV Shows"
"s16","TV Show","Dear White People","","""Logan Browning"," Brandon P. Bell"," DeRon Horton",," John Patrick Amedori"," Ashley Blaine Featherson"," Marque Richardson"," Giancarlo Esposito"""
"s17","Movie","Europe's Most Dangerous Man: Otto Skorzeny in Spain","""Pedro de Echave García"," Pablo Azorín Williams""","","",," 2021""","2020","TV-MA","67 min"
"s18","TV Show","Falsa identidad","","""Luis Ernesto Franco"," Camila Sodi"," Sergio Goyri",," Eduardo Yáñez"," Sonya Smith"," Alejandro Camacho"," Azela Robinson"
"s19","Movie","Intrusion","Adam Salky","""Freida Pinto"," Logan Marshall-Green"," Robert John Burke",," Sarah Minnich"," Hayes Hargrove"," Mark Sivertsen"," Brandon Fierro"
"s20","TV Show","Jaguar","","""Blanca Suárez"," Iván Marcos"," Óscar Casas",," Francesc Garrido"," Stefan Weinert"," Julia Möller"," Alicia Chojnowski"""
"s21","TV Show","Monsters Inside: The 24 Faces of Billy Milligan","Olivier Megaton","","","""September 22",,"2021","TV-14","1 Season","""Crime TV Shows"
"s22","TV Show","Resurrection: Ertugrul","","""Engin Altan Düzyatan"," Serdar Gökhan"," Hülya Darcan",," Esra Bilgiç"," Osman Soykut"," Serdar Deniz"," Cengiz Coşkun"
"s23","Movie","Avvai Shanmughi","K.S. Ravikumar","""Kamal Hassan"," Meena"," Gemini Ganesan",," Nassar"," S.P. Balasubrahmanyam""","","""September 21"
"s24","Movie","Go! Go! Cory Carson: Chrissy Takes the Wheel","""Alex Woo"," Stanley Moore""","""Maisie Benson"," Paul Killam",," AC Lim""","","""September 21"," 2021"""
"s25","Movie","Jeans","S. Shankar","""Prashanth"," Aishwarya Rai Bachchan"," Sri Lakshmi",,"India","""September 21"," 2021""","1998"
"s26","TV Show","Love on the Spectrum","","Brooke Satchwell","Australia","""September 21",,"2021","TV-14","2 Seasons","""Docuseries"
"s27","Movie","Minsara Kanavu","Rajiv Menon","""Arvind Swamy"," Kajol"," Prabhu Deva",," S.P. Balasubrahmanyam"," Girish Karnad""","","""September 21"
"s28","Movie","Grown Ups","Dennis Dugan","""Adam Sandler"," Kevin James"," Chris Rock",," Rob Schneider"," Salma Hayek"," Maria Bello"," Maya Rudolph"
"s29","Movie","Dark Skies","Scott Stewart","""Keri Russell"," Josh Hamilton"," J.K. Simmons",," Kadan Rockett"," L.J. Benet"," Rich Hutchman"," Myndy Crist"
"s30","Movie","Paranoia","Robert Luketic","""Liam Hemsworth"," Gary Oldman"," Amber Heard",," Lucas Till"," Embeth Davidtz"," Julian McMahon"," Josh Holloway"
"s31","Movie","Ankahi Kahaniya","""Ashwiny Iyer Tiwari"," Abhishek Chaubey"," Saket Chaudhary""","""Abhishek Banerjee",," Delzad Hiwale"," Kunal Kapoor"," Zoya Hussain"," Nikhil Dwivedi"
"s32","TV Show","Chicago Party Aunt","","""Lauren Ash"," Rory O'Malley"," RuPaul Charles",," Ike Barinholtz"," Jon Barinholtz"," Matthew Craig"," Bob Odenkirk"
"s33","TV Show","Sex Education","","""Asa Butterfield"," Gillian Anderson"," Ncuti Gatwa",," Connor Swindells"," Kedar Williams-Stirling"," Alistair Petrie""","United Kingdom"
"s34","TV Show","Squid Game","","""Lee Jung-jae"," Park Hae-soo"," Wi Ha-jun",," Jung Ho-yeon"," Heo Sung-tae"," Kim Joo-ryoung"," Tripathi Anupam"
"s35","TV Show","Tayo and Little Wizards","","""Dami Lee"," Jason Lee"," Bommie Catherine Han",," Nancy Kim""","","""September 17"," 2021"""
"s36","Movie","The Father Who Moves Mountains","Daniel Sandu","""Adrian Titieni"," Elena Purea"," Judith State",," Tudor Smoleanu"," Virgil Aioanei"," Radu Botar"," Petronela Grigorescu"
"s37","Movie","The Stronghold","Cédric Jimenez","""Gilles Lellouche"," Karim Leklou"," François Civil",," Kenza Fortas"," Cyril Lecomte"," Michaël Abiteboul"," Idir Azougli"
"s38","TV Show","Angry Birds","","""Antti Pääkkönen"," Heljä Heikkinen"," Lynne Guaglione",," Rauno Ahonen""","Finland","""September 16"," 2021"""
"s39","Movie","Birth of the Dragon","George Nolfi","""Billy Magnussen"," Ron Yuan"," Qu Jingjing",," Vanness Wu"," Jin Xing"," Philip Ng"," Xia Yu"
"s40","TV Show","Chhota Bheem","","""Vatsal Dubey"," Julie Tejwani"," Rupa Bhimani",," Rajesh Kava"," Mousam"," Swapnil""","India"
"s41","TV Show","He-Man and the Masters of the Universe","","""Yuri Lowenthal"," Kimberly Brooks"," Antony Del Rio",," Ben Diskin"," Grey Griffin"," David Kaye"," Tom Kenny"
